relative_path,artist_name
giambattista valli/SS08DLR_Valli_009.png,giambattista valli
giambattista valli/SS17DLR_Valli_020.png,giambattista valli
giambattista valli/SS17DLR_Valli_008.png,giambattista valli
giambattista valli/SS18DLR_Valli_027.png,giambattista valli
giambattista valli/SS08DLR_Valli_021.png,giambattista valli
giambattista valli/FW11DLR_Valli_026.png,giambattista valli
giambattista valli/FW11DLR_Valli_032.png,giambattista valli
giambattista valli/FW12DLR_Valli_004.png,giambattista valli
giambattista valli/FW12DLR_Valli_010.png,giambattista valli
giambattista valli/SS19_HC_Valli_022.png,giambattista valli
giambattista valli/SS12HCDLR_Valli_023.png,giambattista valli
giambattista valli/HCFW11DLR_Valli_004.png,giambattista valli
giambattista valli/FW07DL_Valli_031.png,giambattista valli
giambattista valli/FW07DL_Valli_025.png,giambattista valli
giambattista valli/HCFW11DLR_Valli_010.png,giambattista valli
giambattista valli/FW07DL_Valli_019.png,giambattista valli
giambattista valli/FW15DLR_Valli_022.png,giambattista valli
giambattista valli/SS09DLA_Giambattista_Valli_031.png,giambattista valli
giambattista valli/FW16DLR_Valli_014.png,giambattista valli
giambattista valli/SS16HC_Valli_019.png,giambattista valli
giambattista valli/SS09DLA_Giambattista_Valli_025.png,giambattista valli
giambattista valli/FW09DLR_Valli_029.png,giambattista valli
giambattista valli/FW09DLR_Valli_001.png,giambattista valli
giambattista valli/FW16DLR_Valli_028.png,giambattista valli
giambattista valli/SS16HC_Valli_025.png,giambattista valli
giambattista valli/FW12HCDLR_Valli_023.png,giambattista valli
giambattista valli/SS16HC_Valli_031.png,giambattista valli
giambattista valli/FW09DLR_Valli_015.png,giambattista valli
giambattista valli/SS09DLA_Giambattista_Valli_019.png,giambattista valli
giambattista valli/SS16HC_Valli_030.png,giambattista valli
giambattista valli/FW12HCDLR_Valli_022.png,giambattista valli
giambattista valli/SS09DLA_Giambattista_Valli_018.png,giambattista valli
giambattista valli/FW09DLR_Valli_014.png,giambattista valli
giambattista valli/SS16HC_Valli_024.png,giambattista valli
giambattista valli/FW16DLR_Valli_029.png,giambattista valli
giambattista valli/FW16DLR_Valli_001.png,giambattista valli
giambattista valli/FW09DLR_Valli_028.png,giambattista valli
giambattista valli/SS09DLA_Giambattista_Valli_024.png,giambattista valli
giambattista valli/SS09DLA_Giambattista_Valli_030.png,giambattista valli
giambattista valli/SS16HC_Valli_018.png,giambattista valli
giambattista valli/FW16DLR_Valli_015.png,giambattista valli
giambattista valli/FW15DLR_Valli_023.png,giambattista valli
giambattista valli/FW07DL_Valli_018.png,giambattista valli
giambattista valli/HCFW11DLR_Valli_011.png,giambattista valli
giambattista valli/FW07DL_Valli_024.png,giambattista valli
giambattista valli/FW07DL_Valli_030.png,giambattista valli
giambattista valli/HCFW11DLR_Valli_005.png,giambattista valli
giambattista valli/SS12HCDLR_Valli_022.png,giambattista valli
giambattista valli/SS19_HC_Valli_023.png,giambattista valli
giambattista valli/FW12DLR_Valli_011.png,giambattista valli
giambattista valli/FW12DLR_Valli_005.png,giambattista valli
giambattista valli/FW11DLR_Valli_027.png,giambattista valli
giambattista valli/SS18DLR_Valli_026.png,giambattista valli
giambattista valli/SS17DLR_Valli_009.png,giambattista valli
giambattista valli/SS08DLR_Valli_020.png,giambattista valli
giambattista valli/SS18DLR_Valli_032.png,giambattista valli
giambattista valli/SS08DLR_Valli_008.png,giambattista valli
giambattista valli/SS17DLR_Valli_021.png,giambattista valli
giambattista valli/SS18DLR_Valli_018.png,giambattista valli
giambattista valli/SS17DLR_Valli_023.png,giambattista valli
giambattista valli/SS08DLR_Valli_022.png,giambattista valli
giambattista valli/SS18DLR_Valli_024.png,giambattista valli
giambattista valli/SS18DLR_Valli_030.png,giambattista valli
giambattista valli/FW11DLR_Valli_031.png,giambattista valli
giambattista valli/FW11DLR_Valli_025.png,giambattista valli
giambattista valli/FW11DLR_Valli_019.png,giambattista valli
giambattista valli/FW12DLR_Valli_013.png,giambattista valli
giambattista valli/SS19_HC_Valli_009.png,giambattista valli
giambattista valli/SS12HCDLR_Valli_008.png,giambattista valli
giambattista valli/FW12DLR_Valli_007.png,giambattista valli
giambattista valli/SS12HCDLR_Valli_020.png,giambattista valli
giambattista valli/SS19_HC_Valli_021.png,giambattista valli
giambattista valli/FW07DL_Valli_026.png,giambattista valli
giambattista valli/HCFW11DLR_Valli_013.png,giambattista valli
giambattista valli/HCFW11DLR_Valli_007.png,giambattista valli
giambattista valli/FW15DLR_Valli_021.png,giambattista valli
giambattista valli/FW15DLR_Valli_009.png,giambattista valli
giambattista valli/SS09DLA_Giambattista_Valli_026.png,giambattista valli
giambattista valli/FW16DLR_Valli_003.png,giambattista valli
giambattista valli/FW16DLR_Valli_017.png,giambattista valli
giambattista valli/FW12HCDLR_Valli_008.png,giambattista valli
giambattista valli/SS09DLA_Giambattista_Valli_032.png,giambattista valli
giambattista valli/FW09DLR_Valli_016.png,giambattista valli
giambattista valli/FW12HCDLR_Valli_020.png,giambattista valli
giambattista valli/SS16HC_Valli_026.png,giambattista valli
giambattista valli/FW09DLR_Valli_002.png,giambattista valli
giambattista valli/SS16HC_Valli_027.png,giambattista valli
giambattista valli/FW09DLR_Valli_003.png,giambattista valli
giambattista valli/FW09DLR_Valli_017.png,giambattista valli
giambattista valli/FW12HCDLR_Valli_021.png,giambattista valli
giambattista valli/FW12HCDLR_Valli_009.png,giambattista valli
giambattista valli/FW16DLR_Valli_016.png,giambattista valli
giambattista valli/SS09DLA_Giambattista_Valli_027.png,giambattista valli
giambattista valli/FW16DLR_Valli_002.png,giambattista valli
giambattista valli/FW15DLR_Valli_008.png,giambattista valli
giambattista valli/FW15DLR_Valli_020.png,giambattista valli
giambattista valli/HCFW11DLR_Valli_006.png,giambattista valli
giambattista valli/HCFW11DLR_Valli_012.png,giambattista valli
giambattista valli/FW07DL_Valli_027.png,giambattista valli
giambattista valli/SS19_HC_Valli_020.png,giambattista valli
giambattista valli/SS12HCDLR_Valli_021.png,giambattista valli
giambattista valli/SS12HCDLR_Valli_009.png,giambattista valli
giambattista valli/FW12DLR_Valli_006.png,giambattista valli
giambattista valli/SS19_HC_Valli_008.png,giambattista valli
giambattista valli/FW12DLR_Valli_012.png,giambattista valli
giambattista valli/FW11DLR_Valli_018.png,giambattista valli
giambattista valli/FW11DLR_Valli_024.png,giambattista valli
giambattista valli/FW11DLR_Valli_030.png,giambattista valli
giambattista valli/SS18DLR_Valli_031.png,giambattista valli
giambattista valli/SS08DLR_Valli_023.png,giambattista valli
giambattista valli/SS18DLR_Valli_025.png,giambattista valli
giambattista valli/SS17DLR_Valli_022.png,giambattista valli
giambattista valli/SS18DLR_Valli_019.png,giambattista valli
giambattista valli/SS18DLR_Valli_021.png,giambattista valli
giambattista valli/SS08DLR_Valli_027.png,giambattista valli
giambattista valli/SS17DLR_Valli_032.png,giambattista valli
giambattista valli/SS18DLR_Valli_009.png,giambattista valli
giambattista valli/SS17DLR_Valli_026.png,giambattista valli
giambattista valli/FW11DLR_Valli_008.png,giambattista valli
giambattista valli/FW11DLR_Valli_020.png,giambattista valli
giambattista valli/SS12HCDLR_Valli_025.png,giambattista valli
giambattista valli/SS19_HC_Valli_030.png,giambattista valli
giambattista valli/SS19_HC_Valli_024.png,giambattista valli
giambattista valli/SS12HCDLR_Valli_031.png,giambattista valli
