image,relative_path,style_classification,artist_attribution,timeframe_estimation,mode,date,additional_styles,artist_school,tags
camille-pissarro_the-harvest-of-hay-in-eragny-1887.jpg,Pointillism/camille-pissarro_the-harvest-of-hay-in-eragny-1887.jpg,post_impressionism,camille-pissarro,1850-1900,train,1887.0,,"french, jewish",
martiros-saryan_flowers-1908.jpg,Post_Impressionism/martiros-saryan_flowers-1908.jpg,post_impressionism,martiros-sarian,1900-1950,train,1908.0,,armenian,"flowers-and-plants,flower,bouquet,flowerpot,plant,still life photography,floral design"
martiros-saryan_flowers-1912.jpg,Post_Impressionism/martiros-saryan_flowers-1912.jpg,post_impressionism,martiros-sarian,1900-1950,train,1912.0,,armenian,"flowers-and-plants,flower,bouquet,flowerpot,plant,still life photography,cut flowers,floral design"
pablo-picasso_dutch-landscape-with-windmills-1905.jpg,Post_Impressionism/pablo-picasso_dutch-landscape-with-windmills-1905.jpg,post_impressionism,pablo-picasso,1900-1950,train,1905.0,,spanish,"mills-and-windmills,fields-and-plains"
pablo-picasso_harlequin-s-head-1905.jpg,Post_Impressionism/pablo-picasso_harlequin-s-head-1905.jpg,post_impressionism,pablo-picasso,1900-1950,train,1905.0,,spanish,"male-portraits,face,chin,lady,cheek"
pablo-picasso_portrait-of-juli-gonzalez-1902.jpg,Post_Impressionism/pablo-picasso_portrait-of-juli-gonzalez-1902.jpg,post_impressionism,pablo-picasso,1900-1950,test,1902.0,,spanish,male-portraits
pablo-picasso_still-life-with-vases-1906.jpg,Post_Impressionism/pablo-picasso_still-life-with-vases-1906.jpg,post_impressionism,pablo-picasso,1900-1950,train,1906.0,,spanish,"dishware-and-cutlery,still life photography"
pablo-picasso_toilette-1906-1.jpg,Post_Impressionism/pablo-picasso_toilette-1906-1.jpg,post_impressionism,pablo-picasso,1900-1950,train,1906.0,,spanish,"female-nude,women-and-mirrors"
pablo-picasso_two-roosters-1905.jpg,Post_Impressionism/pablo-picasso_two-roosters-1905.jpg,post_impressionism,pablo-picasso,1900-1950,train,1905.0,,spanish,"birds,hens,chicken,bird,rooster,fowl,galliformes,poultry,comb"
pablo-picasso_woman-at-a-fountain-1901.jpg,Post_Impressionism/pablo-picasso_woman-at-a-fountain-1901.jpg,post_impressionism,pablo-picasso,1900-1950,train,1901.0,,spanish,"mother-and-child,fountains-and-pools"
