2024-03-13 16:41:27,502 INFO    MainThread:67335 [wandb_setup.py:_flush():76] Current SDK version is 0.16.4
2024-03-13 16:41:27,509 INFO    MainThread:67335 [wandb_setup.py:_flush():76] Configure stats pid to 67335
2024-03-13 16:41:27,509 INFO    MainThread:67335 [wandb_setup.py:_flush():76] Loading settings from /Users/traopia/.config/wandb/settings
2024-03-13 16:41:27,509 INFO    MainThread:67335 [wandb_setup.py:_flush():76] Loading settings from /Users/traopia/Documents/GitHub/Artistic_Influence_prediction/wandb/settings
2024-03-13 16:41:27,509 INFO    MainThread:67335 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-03-13 16:41:27,509 INFO    MainThread:67335 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-03-13 16:41:27,509 INFO    MainThread:67335 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'Triplet_Network.py', 'program_abspath': '/Users/traopia/Documents/GitHub/Artistic_Influence_prediction/Triplet_Network.py', 'program': '/Users/traopia/Documents/GitHub/Artistic_Influence_prediction/Triplet_Network.py'}
2024-03-13 16:41:27,509 INFO    MainThread:67335 [wandb_init.py:_log_setup():526] Logging user logs to /Users/traopia/Documents/GitHub/Artistic_Influence_prediction/wandb/run-20240313_164127-dfz7ljcn/logs/debug.log
2024-03-13 16:41:27,509 INFO    MainThread:67335 [wandb_init.py:_log_setup():527] Logging internal logs to /Users/traopia/Documents/GitHub/Artistic_Influence_prediction/wandb/run-20240313_164127-dfz7ljcn/logs/debug-internal.log
2024-03-13 16:41:27,509 INFO    MainThread:67335 [wandb_init.py:init():566] calling init triggers
2024-03-13 16:41:27,509 INFO    MainThread:67335 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.0005, 'architecture': 'Triplet Network', 'dataset': 'Wikiart 1000', 'preprocessing': 'ResNet34', 'num_examples': 10, 'batch_size': 32, 'epochs': 10}
2024-03-13 16:41:27,509 INFO    MainThread:67335 [wandb_init.py:init():616] starting backend
2024-03-13 16:41:27,510 INFO    MainThread:67335 [wandb_init.py:init():620] setting up manager
2024-03-13 16:41:27,511 INFO    MainThread:67335 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-03-13 16:41:27,519 INFO    MainThread:67335 [wandb_init.py:init():628] backend started and connected
2024-03-13 16:41:27,525 INFO    MainThread:67335 [wandb_init.py:init():720] updated telemetry
2024-03-13 16:41:27,548 INFO    MainThread:67335 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-03-13 16:41:28,203 INFO    MainThread:67335 [wandb_run.py:_on_init():2262] communicating current version
2024-03-13 16:41:28,254 INFO    MainThread:67335 [wandb_run.py:_on_init():2271] got version response 
2024-03-13 16:41:28,254 INFO    MainThread:67335 [wandb_init.py:init():804] starting run threads in backend
2024-03-13 16:41:30,359 INFO    MainThread:67335 [wandb_run.py:_console_start():2241] atexit reg
2024-03-13 16:41:30,359 INFO    MainThread:67335 [wandb_run.py:_redirect():2096] redirect: wrap_raw
2024-03-13 16:41:30,359 INFO    MainThread:67335 [wandb_run.py:_redirect():2161] Wrapping output streams.
2024-03-13 16:41:30,359 INFO    MainThread:67335 [wandb_run.py:_redirect():2186] Redirects installed.
2024-03-13 16:41:30,360 INFO    MainThread:67335 [wandb_init.py:init():847] run started, returning control to user process
2024-03-13 16:41:49,200 WARNING MsgRouterThr:67335 [router.py:message_loop():77] message_loop has been closed
